tråkig,boring [c]
modern,modern [c]
trevlig,nice / pleasant (often used to describe a person or surroundings) [c]
kall,cold [c]
viktig,important [c]
dålig,bad [c]
ren,clean [c]
rolig,fun / funny [c]
svår,difficult [c]
olik,different (when directly comparing things) [c]
lätt,easy / light [c]
äcklig,disgusting [c]
varm,warm [c]
rik,rich [c]
dyr,expensive [c]
smutsig,dirty [c]
tjock,thick / fat [c]
hög,high [c]
stark,strong [c]
enkel,simple [c]
ledig,vacant / available [c]
ledsen,sad [c]
snabb,fast [c]
artig,polite [c]
klok,wise [c]
galen,mad [c]
tokig,zany [c]
förnuftig,reasonable / sensible [c]
förståndig,reasonable / sensible (f-s-) [c]
intelligent,intelligent
dum,silly / stupid [c]
allvarlig,serious (a) [c]
mogen,mature / ripe [c]
sympatisk,likeable / endearing (s) [c]
snäll,nice / good (s) [c]
elak,mean / cruel [c]
mjuk,soft / tender [c]
hård,hard / strict [c]
sträng,strict / severe [c]
hänsynslös,thoughtless / inconsiderate [c]
hjärtlös,heartless [c]
egoistisk,egotistical [c]
falsk,false [c]
blyg,shy [c]
generad,embarassed [c]
lugn,calm [c]
fullständig,complete / full [c]
stekt,fried [c]
vit,white [c]
kokt,boiled
torr,dry [c]
salt,salty
underbar,wonderful [c]
tunn,thin [c]
rökt,smoked
vild,wild / fierce / savage [c]
rå,raw [c]
lagom,just right / adequate [c]
släkt,related
blå,blue [c]
brun,brown [c]
grå,grey [c]
svart,black
orange,orange (colour)
rosa,pink
duktig,capable / clever (to be good at something) [c]
händig,handy / deft [c]
jobbig,tough / hard work (also used in reference to a person) [c]
tyst,quiet / silent
skön,comfortable / pleasant (e.g. a nice day or a comfortable chair) [c]
unik,unique [c]
lång,long / tall [c]
säker,sure [c]
riktig,real [c]
liknande,similar (-ande)
rak,straight / direct [c]
tydlig,clear (t) [c]
motsägelsefull,contradictory [c]
konstig,strange [c]
berömd,famous [c]
platt,flat
förvirrad,confused [c]
sann,true [c]
våt,wet [c]
härlig,wonderful / glorious (h) (e.g. a meal or a summer&#39;s day) [c]
ärlig,honest (ä) (e.g. an honest answer or an honest chance) [c]
hederlig,honourable / honest (h) (e.g. an honourable man) [c]
gullig,cute (g) [c]
taskig,rotten / nasty (t) [c]
rimlig,plausible / reasonable [c]
pipig,squeaky [c]
trång,narrow / tight [c]
stel,stiff / rigid (s) [c]
fånig,silly (f) [c]
olämplig,unsuitable / inappropriate [c]
söt,sweet / pretty (s)
fruktansvärd,terrible (f) [c]
lila,purple [c]
röd,red [c]
gul,yellow [c]
stor,large / big [c]
djup,deep [c]
bred,wide [c]
rund,round [c]
fyrkantig,square [c]
bitter,bitter [c]
sur,sour / sulky [c]
kryddig,spicy [c]
mörk,dark [c]
tom,empty [c]
utländsk,foreign (u) [c]
tung,heavy [c]
ljus,light [c]
ny,new [c]
bullrig,noisy [c]
gammal,old [c]
frisk,healthy (referring to a person) / fresh [c]
mäktig,powerful (m) (referring to a person)  [c]
rätt,correct
svag,weak [c]
fel,wrong
ung,young [c]
liten,little / small [c]
väldig,huge / enormous (v) (also commonly used as an intensifying adverb) [c]
tillräcklig,enough / sufficient [c]
främst,foremost
bedrövlig,deplorable / pitiful (b) [c]
omfattande,extensive (-ande)
kraftig,strong / forceful / powerful (e.g. an explosion) [c]
psykisk,psychic / mental [c]
frivillig,voluntary / willing [c]
våldsam,violent [c]
arbetslös,unemployed [c]
rejäl,reliable [c]
skicklig,skillful (s) [c]
känslig,sensitive [c]
övertygad,convinced [c]
festlig,hilarious (f) [c]
nödvändig,necessary / imperative [c]
mulen,cloudy [c]
regnig,rainy [c]
udda,odd
gemensam,communal / common (g) (e.g. a common room) [c]
tvungen,forced (t) [c]
farlig,dangerous [c]
onyttig,useless (e.g. to feel useless) [c]
svettig,sweaty [c]
ljummen,lukewarm [c]
