då,then
utan,without
annan,another / other
mer,more (uncountable)
aldrig,never
vad synd,too bad / what a shame
eller,or
sällan,seldom
nästan,almost
till höger om,to the right of
i alla fall,in any case
i stället för,instead of
utanför,outside
faktiskt,in fact / actually
inte heller,neither
olika,different
ofta,often
ingen,no one
till vänster om,to the left of
alltid,always
bland,among
bredvid,next to
har du lust?,Do you feel like?
någon,some / someone
ibland,sometimes
på kvällen,in the evening
på eftermiddagen,in the afternoon
vänster,left (direction)
förra året,last year
fler,more (countable)
flera,several
gärna,willingly / gladly / readily
på morgonen,in the morning
mot,against / towards
nära,near
tyvärr,unfortunately
ungefär,approximately / roughly
en gång till,one more time / again
ha tur,be lucky
vi ses,see you
medan,While
innan,Before
eftersom,because (e)
därför att,because (d)
även om,even if (used in describing something hypothetical)
trots att,although; while (used in describing something factual)
framför,before / in front of
bakom,behind
mellan,between
mitt emot,opposite (eg. the two buildings are opposite each other)
norr om,north of
öster om,east of
väster om,west of
söder om,South of
nordost,north-east
sydväst,south-west
naturligtvis,naturally / of course (n)
självklart,of course (s)
kvar,left / remaining
alltihopa,all of it / everything
snart,soon
genom,Through / By
under,during / under
nog,probably / enough
rakt fram,straight ahead
förbi,by / past  / over
lycka till!,good luck!
förut,before / previously (f)
ensam,alone / lonely
fortfarande,still
redan,already
någonstans,somewhere / anywhere
ytterligare,additional / further
ingen fara,no problem
håll käften!,shut up!
vara på väg,to be on the way
väldigt,very (v)
så gott som,almost (s)
sådan,such
däremot,on the other hand / however
på sista tiden,recently (p - 3 words)
samtidigt,at the same time / concurrently
till och med,even / up to and including
givetvis,of course (g)
vad som helst,whatever
drygt,just over
egentligen,actually (e)
verkligen,really (v)
beroende på,depending on
sådär,in that way
ändå,nonetheless / anyway
plötsligt,suddenly
omkring,about / around
ännu,yet / still
det är ingen idé,there&#39;s no point
det spelar ingen roll,it doesn&#39;t matter
så snart som möjligt,as soon as possible
kom igen,come on
överens,agreed
alldeles,entirely / just
omkull,over / down (o)
illa,badly / poorly / very
fast,although (f)
ner,down (n)
någonsin,ever
på grund av,due to
bort,away
ihjäl,to death
knappt,slightly less than
alltså,that is to say / in other words
så kallad,so-called
somliga,some (s)
enligt,according to
äntligen,finally / at last
genast,immediately
lika bra som,as well as
framför allt,chiefly / particularly
varken,neither (v)
ur,out of / from
vidare,further
fram,forward
för skojs skull,for the fun of it
knappast,hardly
färre,fewer
få,few
förmodligen,presumably
uppenbarligen,obviously (u)
förstås,of course (f)
så småningom,gradually / eventually
inledningsvis,initially / by way of introduction
troligen,probably (t)
rimligtvis,reasonably
såvitt,as far as
särskilt,particularly / especially (s)
dessutom,moreover / furthermore
