att resa,to travel
att prata,to speak; talk
att bo,to live
att komma,to come
att vara,to be
att heta,to be called
att fika,to go for coffee
att äta,to eat
att ta,to take
att ha,to have
att dricka,to drink
att få,to get; receive
att tugga,to chew
att grilla,to barbecue
att rensa,to gut
att laga mat,to cook
att baka,to bake
att arbeta,to work
att kosta,to cost
att köpa,to buy
att tvätta sig,to wash oneself
att hälsa,to greet
att ge,to give
att må,to feel (good or bad)
att betala,to pay
att sova,to sleep
att springa,to run
att beställa,to order
att tro,to believe
att försova sig,to oversleep
att skynda sig,to hurry (up)
att bestämma sig,to decide
att klä sig,to get dressed
att lägga sig,to go to bed; lie down
att läsa,to read
att skriva,to write
att lära sig,to learn
att gilla,to like (less formal)
att tycka om,to like (more formal)
att tycka,to think; find (have an opinion)
att koppla av,to relax
att bada,to take a bath
att simma,to swim
att sola,to sunbathe
att ringa,to call; phone
att köra,to drive
att åka,to go (by)
att gå,to go; walk
att titta,to look
att titta på TV,to watch television
jag reser,I travel
han pratar,he speaks
hon bor,she lives
vi kommer,we come
jag är,I am
han heter,he is called
hon fikar,she goes for coffee
jag äter,I eat
du tar,you take
han har,he has
ni dricker,you (pl.) drink
de får,they get (receive)
jag tuggar,I chew
han grillar,he barbecues
hon rensar,she guts
de lagar mat,they cook
vi bakar,we bake
jag arbetar,I work
det kostar,it costs
han köper,he buys
jag tvättar mig,I wash myself
ni hälsar,you (pl.) greet
de ger,they give
vi mår,we feel (good or bad)
du betalar,you pay
jag sover,I sleep
du springer,you run
vi beställer,we order
hon tror,she believes
du försover dig,you oversleep
vi skyndar oss,we hurry (up)
ni bestämmer er	,you (pl.) decide
hon klär sig,she gets dressed
de lägger sig,they go to bed
han läser,he reads
hon skriver,she writes
du lär dig,you learn
jag gillar,I like (less formal)
jag tycker om,I like (more formal)
du tycker,you think (have an opinion)
hon kopplar av,she relaxes
de badar,they take a bath
han simmar,he swims
hon solar,she sunbathes
hon ringer,she calls (phones)
han kör,he drives
du åker,you go (by)
vi går,we go (walk)
han tittar,he looks
de tittar på TV,they watch television
jag reste,I traveled
han pratade,he spoke
hon bodde,she lived
vi kom,we came
jag var,I was
han hette,he was called
hon fikade,she went for coffee
jag åt,I ate
du tog,you took
han hade,he had
ni drack,you (pl.) drank
de fick,they got (received)
jag tuggade,I chewed
han grillade,he barbecued
hon rensade,she gutted
de lagade mat,they cooked
vi bakade,we baked
jag arbetade,I worked
det kostade,it costed
han köpte,he bought
jag tvättade mig,I washed myself
ni hälsade,you (pl.) greeted
de gav,they gave
vi mådde,we felt (good or bad)
du betalade,you paid
jag sov,I slept
du sprang,you ran
vi beställde,we ordered
hon trodde,she believed
du försov dig,you overslept
vi skyndade oss,we hurried (up)
ni bestämde er,you (pl.) decided
hon klädde sig,she got dressed
de lade sig,they went to bed
han läste,he read
hon skrev,she wrote
du lärde dig,you learned
jag gillade,I liked (less formal)
jag tyckte om,I liked (more formal)
du tyckte,you thought (had an opinion)
hon kopplade av,she relaxed
de badade,they took a bath
han simmade,he swam
hon solade,she sunbathed
hon ringde,she called (phoned)
han körde,he drove
du åkte,you went (by)
vi gick,we went (walked)
han tittade,he looked
de tittade på TV,they watched television
jag har rest,I have traveled
han har pratat,he has spoken
hon har bott,she has lived
vi har kommit,we have come
jag har varit,I have been
han har hetat,he has been called
hon har fikat,she has gone for coffee
jag har ätit,I have eaten
du har tagit,you have taken
han har haft,he has had
ni har druckit,you (pl.) have drunk
de har fått,they have gotten
jag har tuggat,I have chewed
han har grillat,he has barbecued
hon har rensat,she has gutted
de har lagat mat,they have cooked
vi har bakat,we have baked
jag har arbetat,I have worked
det har kostat,it has costed
han har köpt,he has bought
jag har tvättat mig,I have washed myself
ni har hälsat,you (pl.) have greeted
de har gett,they have given
vi har mått,we have felt
du har betalat,you have paid
jag har sovit,I have slept
du har sprungit,you have run
vi har beställt,we have ordered
hon har trott,she has believed
du har försovit dig,you have overslept
vi har skyndat oss,we have hurried (up)
ni har bestämt er,you (pl.) have decided
hon har klätt sig,she has gotten dressed
de har lagt sig,they have gone to bed
han har läst,he has read
hon har skrivit,she has written
du har lärt dig,you have learned
jag har gillat,I have liked (less formal)
jag har tyckt om,I have liked (more formal)
du har tyckt,you have thought (have had an opinion)
hon har kopplat av,she has relaxed
de har badat,they have taken a bath
han har simmat,he has swum
hon har solat,she has sunbathed
hon har ringt,she has called (phoned)
han har kört,he has driven
du har åkt,you have gone (by)
vi har gått,we have gone (walked)
han har tittat,he has looked
de har tittat på TV,they have watched television
jag ska resa,I am going to travel
han ska prata,he is going to speak
hon kommer att bo,she will live
vi kommer att komma,we will come
jag ska vara,I am going to be
han ska heta,he is going to be called
hon ska fika,she is going to go for coffee
jag kommer att äta,I will eat
du kommer att ta,you will take
han ska ha,he is going to have
ni kommer att dricka,you (pl.) will drink
de kommer att få,they will get (receive)
jag kommer att tugga,I will chew
han ska grilla,he is going to barbecue
hon kommer att rensa,she will gut
de ska laga mat,they are going to cook
vi kommer att baka,we will bake
jag ska arbeta,I am going to work
det ska kosta,it is going to cost
han tänker köpa,he intends to buy
jag ska tvätta mig,I am going to wash myself
ni kommer att hälsa,you (pl.) will greet
de tänker ge,they intend to give
vi kommer att må,we will feel (good or bad)
du kommer att betala,you will pay
jag skulle sova,I would sleep
du skulle springa,you would run
vi skulle beställa,we would order
hon skulle tro,she would believe
du skulle försova dig,you would oversleep
vi skulle skynda oss,we would hurry (up)
ni skulle bestämma er,you (pl.) would decide
hon skulle klä sig,she would get dressed
de skulle lägga sig,they would go to bed
han skulle läsa,he would read
hon skulle skriva,she would write
du skulle lära dig,you would learn
jag skulle gilla,I would like (less formal)
jag skulle tycka om,I would like (more formal)
du skulle tycka,you would think (have an opinion)
hon skulle koppla av,she would relax
de skulle bada,they would take a bath
han skulle simma,he would swim
hon skulle sola,she would sunbathe
hon skulle ringa,she would call (phone)
han skulle köra,he would drive
du skulle åka,you would go (by)
vi skulle gå,we would go (walk)
han skulle titta,he would look
de skulle titta på TV,they would watch television
att vilja,to want (to)
att kunna,to be able (to); can
att måste,to have to; must
att behöva,to need
att bruka,to be used to; usually
att bära,to carry
att öppna,to open
att stänga,to close; shut
att säga,to say
att fråga,to ask
att svara,to answer; reply
att hjälpa,to help
att börja,to begin; start
att sluta,to stop; end; finish; cease
att tvätta,to wash
att leva,to live (be alive)
att se,to see
att röra,to touch
att höra,to hear
att smaka,to taste
att lägga,to lay; put; place
att lära,to teach; instruct
att sticka,to stick; put
att spela,to play
att sjunga,to sing
att sitta,to sit
att stå,to stand
att känna,to know (someone)
att veta,to know (something)
att träffa,to meet
att besöka,to visit
att trycka,to push; press
att dra,to pull
att skrika,to scream; shriek
att gråta,to cry; weep
att dö,to die
att hitta,to find; locate
att flyga,to fly
att drömma,to dream
att undra,to wonder
att tänka,to think; ponder
att vinna,to win
att förlora	,to lose
att sälja,to sell
att vänta,to wait
att ha på sig,to wear (clothing)
att förlova sig,to get engaged
att lära känna,to get to know
att hata,to hate
att älska,to love
jag vill,I want (to)
du kan,you can
hon måste,she must
vi behöver,we need
de brukar,they usually
han bär,he carries
jag öppnar,I open
du stänger,you close
hon säger,she says
han frågar,he asks
de svarar,they answer
ni hjälper,you (pl.) help
det börjar,it starts
det slutar,it stops (ends)
vi tvättar,we wash
de lever,they live (are alive)
hon ser,she sees
jag rör,I touch
du hör,you hear
han smakar,he tastes
de lägger,they lay (put)
jag lär,I teach
ni sticker,you (pl.) stick
de spelar,they play
hon sjunger,she sings
han sitter,he sits
hon står,she stands
jag känner,I know (someone)
du vet,you know (something)
ni träffar,you (pl.) meet
vi besöker,we visit
jag trycker,I push
du drar,you pull
hon skriker,she screams
han gråter,he crys
de dör,they die
vi hittar,we find (locate)
det flyger,it flys
du drömmer,you dream
hon undrar,she wonders
han tänker,he thinks (ponders)
jag vinner,I win
du förlorar,you lose
de säljer,they sell
jag väntar,I wait
du har på dig,you wear (clothing)
vi förlovar oss,we get engaged
ni lär känna,you (pl.) get to know
han hatar,he hates
hon älskar,she loves
jag ville,I wanted (to)
du kunde,you were able (to)
